image_path,caption,upper_garment,lower_garment,outerwear,footwear,colors,accessories,scene,style
06d3d5f692fedec651140520248bf5c9.jpg,a woman is walking down the runway,,,,,,,runway,
06e324f9ef2c3bc1cc2573562e498499.jpg,a woman in a red dress walks down the runway,,,,,red,,runway,
06eca767af94ec50eb0503088708be13.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
06ecffe481441947fcc9c8cadc8d07ee.jpg,a model walks the runway at the fashion show during fashion week,,,,,,,runway,
07572e488f6e5e7b3868a64fbc6be1a3.jpg,a woman in a black dress walks down the runway,,,,,black,,runway,
07729e318fa891baba6eb212220b95a6.jpg,a woman sitting on the steps outside of a building,,,,,,,,
079316c57596d9c170b1fa3964ddaa6c.jpg,a model walks the runway in a blue and black dress,,,,,"blue, black",,runway,
07960daf191c39d8a5c9ea31d0967b72.jpg,a girl holding an apple in her hand,,,,,,,,
0797a7c729a7da9e67258f46bf25113e.jpg,a woman in a white coat is walking down the runway,,,coat,,white,,runway,
07a7bc9429c23e4704ab97898de75030.jpg,a woman walking down the runway in a pink dress,,,,,pink,,runway,
07ca6418fec6b952b930f7fc19de9e38.jpg,a woman in a white dress and black jacket on a runway,,,jacket,,"white, black",,runway,
07ca8557b287c88d68ad06b4fe42776b.jpg,a woman wearing a black and white striped skirt,,skirt,,,"black, white",,,
07daf1f351859a7d4fcff7b90cc7c01d.jpg,a model walks the runway at the fashion show,,,,,,,runway,
07ea7662a6eac3f7d6a998c94239ef4e.jpg,a model walks the runway at the fashion show,,,,,,,runway,
08269ba6f7c1fffd539fc3c016b771e6.jpg,a woman wearing sunglasses and a fur coat,,,coat,,,sunglasses,,
082ad027fea3c92f27b41ab293847fd2.jpg,a woman sitting on the steps of a building,,,,,,,,
083eab3fccdb0fe9af6b29d5648c1c00.jpg,a man walking down the runway wearing a brown jacket and shorts,,shorts,jacket,,brown,,runway,
08508eee91db9d3e8cb30d9beaa3e1a7.jpg,a woman in a white shirt and jeans stands in front of wooden crates,shirt,jeans,,,white,,,
08680e1257c83a5a603ae3ef67ef3dde.jpg,a woman standing on the sidewalk in front of a building,,,,,,,,
086d00c234f4cb9aa9798860266c3c3f.jpg,a woman in red boots is walking down the street,,,,boots,red,,street,
08a58fc63f2d38be5419ad16e7ced303.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
08a5fc15bb6f3e0f59f4abbf83b79a0e.jpg,a woman walking down the street with a shopping bag,,,,,,,street,
08aef22333dc36956f927b2528d47ace.jpg,a woman in a brown top and tan shorts,,shorts,,,brown,,,
08b487d437ae6058ca64250be162b656.jpg,a woman sitting on the floor drinking from a bottle,,,,,,,,
08b871382189d9cfb98ae69b8aaf6a37.jpg,a man riding a skateboard on top of a building,,,,,,,,
08c915c2155cb2e58b7d485982c68947.jpg,a man in a green jumpsuit with a brown bag,,,,,"green, brown",,,
08ce85240ea476099fa8e4528b4b8e23.jpg,a model in a black and white dress,,,,,"black, white",,,
08d7b9303063435f0302169edcb701d4.jpg,a woman in a red jacket and jeans,,jeans,jacket,,red,,,
08db3cd964133d2c08571a4399083f59.jpg,a woman in shorts and a hat poses for the camera,,shorts,,,,hat,,
0931b17ccbb82e1eda1010f1428cc7cb.jpg,a woman jumping in the air,,,,,,,,
09350208dbbe3f0d495c48a8ed036d8e.jpg,a woman in an orange and white dress,,,,,"orange, white",,,
09524f427576768e445b55a1975b9d7f.jpg,a woman standing in front of a blue door,,,,,blue,,,
095b9c28ea50b1707ad4be55a37ae399.jpg,a model walks the runway in a black and white dress,,,,,"black, white",,runway,
09675496409c85adc6deba11277050e8.jpg,a woman in a white coat and pink bag walking down the street,,,coat,,"white, pink",,street,
09a205e6a9500de4d5ec89446a3d9bf2.jpg,a model walks the runway at the fashion show,,,,,,,runway,
09c1c65c2b742a710bc736a8fe566d11.jpg,a woman in a black top and leggings,,leggings,,,black,,,
09ea62fead98686e93c6683ab297dda9.jpg,a woman in a fur coat and sunglasses walks down the street,,,coat,,,sunglasses,street,
09ff9e179fe9d63f48c1bf6d5565f659.jpg,person at the teenage world premiere,,,,,,,,
0a45b6b033bf0077a15f484e98f3dbfe.jpg,the man is wearing a plaid shirt,shirt,,,,,,,
0a4aae5ecd970a120bfcc6b377b6e187.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
0a4f8205a3b58e70eec99fbbb9422d08.jpg,a woman walking down the runway wearing a black and white dress,,,,,"black, white",,runway,
0a563d036018e91cd9b5899adb50ec18.jpg,a model walks the runway at the fashion show,,,,,,,runway,
0a729bbbccaf081a46d72e5869838b45.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
0a72e0f76ab9b75945f5d610508f9336.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
0a939e0e67011aecf7195c17ecb9733c.jpg,a model in a green jacket and black pants on the runway,,pants,jacket,,"green, black",,runway,
0af8af9ca834900d3b23abda5264503a.jpg,a young girl standing on the steps of a building,,,,,,,,
0afb6b28d4583e470c7d0c52268272a7.jpg,a young man in an orange shirt and black pants with a skateboard,shirt,pants,,,"orange, black",,,
0b23958eade3801f423e504d2ca8ffa4.jpg,a woman with a camera in her hand,,,,,,,,
0b351e597f43c6d3c55d7b435aeef066.jpg,person in a red dress,,,,,red,,,
0b3e3fbcd4ba937b59837f20e2f0888a.jpg,a model walks down the runway at a fashion show,,,,,,,runway,
0b48b477aa4075c5489c5bfb0df35017.jpg,a woman in a black dress walking down the runway,,,,,black,,runway,
0b915f1e29a2e2dacf96aacd3cb6a3cc.jpg,a woman standing in a restaurant,,,,,,,,
0ba0216e6879f8b433d0897a77cff984.jpg,a girl with a backpack standing on the side of a road,,,,,,backpack,,
0bbaa62211cc48b57957aab152fba023.jpg,a woman walking down a runway in a dress,,,,,,,runway,
0bbb948a0876edce2827a164c6783fbe.jpg,a woman walking down a runway in a black dress,,,,,black,,runway,
0bf1bfb33db3cee939902582642ac1bb.jpg,a person sitting on a rock looking at a mountain lake,,,,,,,,
0bf28f90d4a78251c32c37b8164d7676.jpg,a man sitting on a bench in front of a bridge,,,,,,,,
0c19eca5f90b66b915e2f6cbd421574f.jpg,a model walks the runway during show,,,,,,,runway,
0c6cf79ffbf7f14a266d0f0f21219447.jpg,a woman in a black dress and white jacket,,,jacket,,"black, white",,,
0c8c7a46d30f841b2e8944acddc21b3d.jpg,a woman standing in front of a pool with a camera,,,,,,,,
0c96b29823a5372efdc370fb5a231145.jpg,a woman in black leather pants and a blue bomber jacket,,pants,jacket,,"black, blue",,,
0cae8146b9ec4788a06ea4bf45a257ba.jpg,a woman in a white shirt and black pants stands in front of a yellow taxi,shirt,pants,,,"white, black, yellow",,,
0cb2351c74ccc0b38128e91d0629625d.jpg,a woman in a white shirt and brown skirt,shirt,skirt,,,"white, brown",,,
0cd8f2955ec01a4e2678648f153b1326.jpg,a woman in a pink top and blue skirt on the runway,,skirt,,,"pink, blue",,runway,
0d0417d27fea871995e100907cf39cc1.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
0d25b761d9b146cfa820b2a7364b5bf7.jpg,a woman walking down the street wearing a blue coat,,,coat,,blue,,street,
0d2c936a0c0acff642b5a8c5e85fd461.jpg,a woman in a black coat and red shirt walking down the street,shirt,,coat,,"black, red",,street,
0d32e0c44b492a04a01db6eaf11c7fc7.jpg,a model wearing a purple top and white pants,,pants,,,"purple, white",,,
0d5d5e00e589fe5641b919179794994b.jpg,a woman sitting on top of a stone in a field,,,,,,,,
0d76d62a5c5ba8644db899b2b5698a0e.jpg,a woman sitting on a chair in front of a mirror,,,,,,,,
0d8803f0181d1d5e0b8d55d886a40c3d.jpg,a woman sitting on a bench in a train station,,,,,,,,
0d98a538dcc1ae339c2e4cfd235b9509.jpg,a woman in a red sweater and floral pants,sweater,pants,,,red,,,
0dbd3f116ed02e39a2136824473b47a7.jpg,a woman wearing sunglasses and a floral sweater,sweater,,,,,sunglasses,,
0dc0c471a32907df9e6f3f85b1d1897b.jpg,a little girl in a white dress standing in a greenhouse,,,,,white,,,
0dc88e905c843875a508ffd6581170e7.jpg,a woman in a pink dress leaning against a stone wall,,,,,pink,,,
0df0a300efcfc8c0e289f29c0ac8f86d.jpg,a woman walking down the street while talking on her cell,,,,,,,street,
0df11a4383879c0326896fefa30e8f6c.jpg,a woman sitting on a log in the woods,,,,,,,,
0e0504a8c053aed418aaeebd2be60ce3.jpg,a man standing in the middle of a forest,,,,,,,,
0e15c6a2a095ba20f904c78dedf3a228.jpg,a woman sitting on the curb of a sidewalk,,,,,,,,
0e4af4261e722e382d3999857e51870c.jpg,a woman wearing a white dress and headband,,,,,white,,,
0e4ccb9ca5528265c8330c043604b0c7.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
0e5ecf98835cbd0dddd1b45c788005c3.jpg,the back of a woman wearing a white tank top and denim shorts,,shorts,,,white,,,
0e9775fcd1a3b1d95aed773e684b3f49.jpg,a model wearing a green jacket and brown pants,,pants,jacket,,"green, brown",,,
0ead2ad663e32a0f867c31895b1ade76.jpg,a woman in red pants and a black jacket,,pants,jacket,,"red, black",,,
0ebe6d8449aed07be683fd778a4092d1.jpg,a woman in a white dress posing for the camera,,,,,white,,,
0ed919511953f705089d8d5fd7dff2cf.jpg,a woman in a white coat walks down the runway,,,coat,,white,,runway,
0ef685358bc959847a46c299322bafa0.jpg,a woman walking down a snow covered street,,,,,,,street,
0efe12abab123c39757888e9c8f9d145.jpg,a woman in a long dress walks down the runway,,,,,,,runway,
0f268c42b6eda9ec5f80f3064f4a6155.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
0f3444a07e3cc8d310ab33907d96ba1f.jpg,a woman riding a bike down the street,,,,,,,street,
0f49ff48b5b25933db0669e9077b5cd3.jpg,a woman wearing leopard print leggings and a black leather jacket,,leggings,jacket,,black,,,
0f4d15d0aed8a66085298f73a759f27b.jpg,a woman standing on the sidewalk in a white shirt and jeans,shirt,jeans,,,white,,,
0f68960d855adfe019da1d4480770b17.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
0f89611061b52ccbf2dde820554de1df.jpg,a woman in a red dress walks down the runway,,,,,red,,runway,
0fd47405bde971ea795259fa8790ef40.jpg,a woman in a red plaid shirt and black pants,shirt,pants,,,"red, black",,,
0ff1ad48b959df32af38f42cef26d361.jpg,a model walks the runway in a black dress,,,,,black,,runway,
0ff21e64a5480e252e8dbd257f72032e.jpg,a man standing in front of a mountain,,,,,,,,
1003a917c17bc42f9de565905e976d7a.jpg,a woman in a black suit and black boots,,,,boots,black,,,
1050585bd1104969bc175e8bcdfd5311.jpg,a woman wearing a hat and sunglasses stands in front of a fence,,,,,,"hat, sunglasses",,
106d8791ebee7af873405f2bdcb9c54f.jpg,a woman standing in front of a painting,,,,,,,,
1096d7f19d17bc21e9a56f2ca44740c6.jpg,a woman standing in front of a red door,,,,,red,,,
10a117448125788275f45a4a48c406a6.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
10ae8bdd823a935b4f107134b62bbc8a.jpg,a woman wearing a hat and holding a camera,,,,,,hat,,
10c50c5260df9da9ce521b852c18535e.jpg,a woman in a brown shirt and denim shorts posing for the camera,shirt,shorts,,,brown,,,
10d0606a6747501716f76fb3f5614cd3.jpg,a young woman wearing a baseball cap and black shorts,,shorts,,,black,cap,,
10ff41e28a58864e970e1f5d5b6fcc18.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
110884e327a094ad86358ece522dddff.jpg,a model walks the runway at the fashion show,,,,,,,runway,
112a9c9b9c7a97f3f632b2ec7fd064e5.jpg,a woman in a denim jacket and skirt walking down the street,,skirt,jacket,,,,street,
1133c832005b9620ab89eee82ba1c4a2.jpg,a model walks the runway at the fashion show,,,,,,,runway,
113dcdc48d04076928f65df1bc941917.jpg,a model walks the runway at a fashion show,,,,,,,runway,
114411003923c0d186c6a6d51009424f.jpg,a young girl in a red dress walks down the red carpet,,,,,red,,,
11669ac85fec72431334f523bc53c45f.jpg,a woman in a floral dress and orange cardigan sweater,sweater,,cardigan,,orange,,,
116c0fd0c6d963e7b68e7af47c4e8cc7.jpg,a model walks the runway at the fashion show,,,,,,,runway,
118f0ead73f859663c81b5f86f5d5e3a.jpg,a woman walking on a wooden bridge over water,,,,,,,,
119b337ea431d7795d5e60ad6b5a71a5.jpg,a woman in a white dress walks down the runway,,,,,white,,runway,
11c17cfa0c3e2ee65046d0d77c6f8b07.jpg,a woman in a black dress walking down the runway,,,,,black,,runway,
11eae5814ba9aad72fa4dad87b54b192.jpg,a woman in a red dress walking down the runway,,,,,red,,runway,
123318217b814f567b34b30bc843680f.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
12416f707a0428adc08bc899bc6d84c8.jpg,a woman in a black dress posing for the camera,,,,,black,,,
124d454fca78e66b8358424f05bfe4a1.jpg,a woman standing on a sidewalk in front of a tree,,,,,,,,
124dc5471306edcadc0d89bfc7353939.jpg,a young woman wearing a black leather jacket,,,jacket,,black,,,
126c42860c165034e8e46b17fa76cbf9.jpg,a model walks down the runway,,,,,,,runway,
128e563f37864265333bc9a3de7dccc6.jpg,a woman in a black dress walks down the runway,,,,,black,,runway,
129641fb38cde5b4c002aada6c0f68f5.jpg,a woman standing on top of a skateboard,,,,,,,,
129e532450000ba8ffceb3b76fd9e617.jpg,a woman in a white shirt posing for the camera,shirt,,,,white,,,
12a71f5cee59104964eccb52bd22fe09.jpg,a man standing in front of a glass display case,,,,,,,,
12b3bdbd6cc7f9a136903bdf8c868d1a.jpg,a woman in a red dress walks down the runway,,,,,red,,runway,
12b6fd67ef3f6c74fd8483219b738bc1.jpg,a model walks the runway in a red dress,,,,,red,,runway,
12bbf859a0a9f6c6aa1330ca506e8015.jpg,a woman in a white dress and fur coat,,,coat,,white,,,
12bf6fb74bf3a422429b71f23210d5fa.jpg,two men walking down the runway at a fashion show,,,,,,,runway,
12da876e7f7a7e754f0ffe635dfb79f0.jpg,a model walks the runway at the fashion show,,,,,,,runway,
12dd799092382ae3f1cf59120270e9b6.jpg,a woman walking across a crosswalk in the middle of a street,,,,,,,street,
12ed4c6ee58a1e2ae0a3ddf3d702ca35.jpg,a woman sitting on the ground in front of a building,,,,,,,,
12fea2852daf1832ce9646dd4554ada2.jpg,a girl in a white shirt and black shorts posing for the camera,shirt,shorts,,,"white, black",,,
136ac2a820e9718e52835f815428be82.jpg,a woman walking down the street while talking on a cell,,,,,,,street,
13714a1c52d443ebeb3357cb3c6b5285.jpg,a man in a suit walking down the runway,,,,,,,runway,
137d35208367f5a6aaf358dee6b39d14.jpg,a woman in a pink dress sitting on a rock,,,,,pink,,,
138d25e69ff93fda0643ced2fa7feafb.jpg,a woman wearing a black coat and sunglasses,,,coat,,black,sunglasses,,
13a6b649fa1638fff877ec7b8676dae9.jpg,a man in a suit and tie walking down the runway,,,,,,tie,runway,
13ab3679b9777ce7e608ba2740e6e05d.jpg,a model walks the runway at the fashion show,,,,,,,runway,
13ac5b09f6c7cf03d6bddeeba2dd7d63.jpg,a man in a suit and tie standing on the street,,,,,,tie,street,
13b9a088b45485a80832c944d48e11ba.jpg,a woman in a purple dress walks down the runway,,,,,purple,,runway,
13bd73c2068bc2705f3a0b65e425b965.jpg,a woman walking down the street while looking at her phone,,,,,,,street,
13c2e7449a549d43161b95c9f1d68d40.jpg,a model walks down the runway,,,,,,,runway,
13c70ef45d33a408cfaef9817926a6e9.jpg,a young woman leaning against a brick wall wearing a white t shirt with the word ` ` ` ` ` ` ` ` ` ` ` ` ` `,shirt,,,,white,,,
13dc02b29a5e43c7eb2dc5234746a6ca.jpg,a woman in a black dress standing on a sidewalk,,,,,black,,,
13eb38998d1db390780388635cc81d70.jpg,a woman wearing a denim shirt and jacket,shirt,,jacket,,,,,
13f2e193228e5f80244a976250606266.jpg,a woman sitting on the ground in front of a fence,,,,,,,,
13fe12441faf2d3a6669aa4653b92658.jpg,a woman sitting on the ground in front of a building,,,,,,,,
